user_id,skill_name,correct
Ryan,Q1,1
David,Q1,0
Kevin,Q1,1
Brenton,Q1,1
Bobby,Q1,0
Mohammad,Q1,1
Forrest,Q1,0
Peter,Q1,1
Kareem,Q1,0
Joe,Q1,1
Gary,Q1,0
Larry Bird,Q1,1
MJ,Q1,1
Lebron,Q1,0
Amanda,Q1,1
Jenny,Q1,0
Ryan,Q2,0
David,Q2,1
Kevin,Q2,1
Brenton,Q2,0
Bobby,Q2,1
Mohammad,Q2,0
Forrest,Q2,1
Peter,Q2,0
Kareem,Q2,1
Joe,Q2,0
Gary,Q2,1
Larry Bird,Q2,0
MJ,Q2,1
Lebron,Q2,1
Amanda,Q2,0
Jenny,Q2,1
Ryan,Q3,1
David,Q3,0
Kevin,Q3,0
Brenton,Q3,1
Bobby,Q3,1
Mohammad,Q3,1
Forrest,Q3,0
Peter,Q3,1
Kareem,Q3,0
Joe,Q3,1
Gary,Q3,1
Larry Bird,Q3,1
MJ,Q3,0
Lebron,Q3,1
Amanda,Q3,1
Jenny,Q3,0
Ryan,Q4,0
David,Q4,1
Kevin,Q4,1
Brenton,Q4,0
Bobby,Q4,0
Mohammad,Q4,1
Forrest,Q4,1
Peter,Q4,0
Kareem,Q4,1
Joe,Q4,0
Gary,Q4,1
Larry Bird,Q4,0
MJ,Q4,1
Lebron,Q4,0
Amanda,Q4,1
Jenny,Q4,1
Ryan,Q5,1
David,Q5,0
Kevin,Q5,1
Brenton,Q5,1
Bobby,Q5,1
Mohammad,Q5,0
Forrest,Q5,1
Peter,Q5,1
Kareem,Q5,0
Joe,Q5,1
Gary,Q5,0
Larry Bird,Q5,1
MJ,Q5,0
Lebron,Q5,1
Amanda,Q5,0
Jenny,Q5,1
Ryan,Q6,0
David,Q6,1
Kevin,Q6,0
Brenton,Q6,1
Bobby,Q6,1
Mohammad,Q6,1
Forrest,Q6,0
Peter,Q6,1
Kareem,Q6,1
Joe,Q6,0
Gary,Q6,1
Larry Bird,Q6,0
MJ,Q6,1
Lebron,Q6,0
Amanda,Q6,1
Jenny,Q6,0
Ryan,Q7,1
David,Q7,1
Kevin,Q7,1
Brenton,Q7,0
Bobby,Q7,0
Mohammad,Q7,1
Forrest,Q7,1
Peter,Q7,0
Kareem,Q7,1
Joe,Q7,1
Gary,Q7,0
Larry Bird,Q7,1
MJ,Q7,0
Lebron,Q7,1
Amanda,Q7,0
Jenny,Q7,1
Ryan,Q8,0
David,Q8,1
Kevin,Q8,0
Brenton,Q8,1
Bobby,Q8,1
Mohammad,Q8,0
Forrest,Q8,1
Peter,Q8,1
Kareem,Q8,0
Joe,Q8,1
Gary,Q8,1
Larry Bird,Q8,0
MJ,Q8,1
Lebron,Q8,1
Amanda,Q8,1
Jenny,Q8,0
Ryan,Q9,1
David,Q9,0
Kevin,Q9,1
Brenton,Q9,0
Bobby,Q9,1
Mohammad,Q9,1
Forrest,Q9,0
Peter,Q9,1
Kareem,Q9,1
Joe,Q9,0
Gary,Q9,1
Larry Bird,Q9,1
MJ,Q9,1
Lebron,Q9,0
Amanda,Q9,0
Jenny,Q9,1
