user_id,skill_name,correct
Ryan,Q1,1
David,Q1,0
Kevin,Q1,1
Brenton,Q1,1
Bobby,Q1,1
Mohammad,Q1,1
Forrest,Q1,1
Tyrone,Q1,0
Kareem,Q1,0
Jamal,Q1,0
Jaquavious,Q1,0
Larry Bird,Q1,1
MJ,Q1,1
Lebron,Q1,1
Amanda,Q1,0
Jenny,Q1,1
Ryan,Q2,1
David,Q2,0
Kevin,Q2,1
Brenton,Q2,0
Bobby,Q2,1
Mohammad,Q2,0
Forrest,Q2,1
Tyrone,Q2,1
Kareem,Q2,0
Jamal,Q2,1
Jaquavious,Q2,1
Larry Bird,Q2,0
MJ,Q2,1
Lebron,Q2,0
Amanda,Q2,1
Jenny,Q2,0
Ryan,Q3,1
David,Q3,0
Kevin,Q3,1
Brenton,Q3,1
Bobby,Q3,0
Mohammad,Q3,1
Forrest,Q3,0
Tyrone,Q3,1
Kareem,Q3,1
Jamal,Q3,0
Jaquavious,Q3,1
Larry Bird,Q3,1
MJ,Q3,0
Lebron,Q3,1
Amanda,Q3,0
Jenny,Q3,1
Ryan,Q4,0
David,Q4,1
Kevin,Q4,0
Brenton,Q4,1
Bobby,Q4,1
Mohammad,Q4,0
Forrest,Q4,1
Tyrone,Q4,0
Kareem,Q4,1
Jamal,Q4,1
Jaquavious,Q4,0
Larry Bird,Q4,1
MJ,Q4,1
Lebron,Q4,0
Amanda,Q4,1
Jenny,Q4,0
Ryan,Q5,1
David,Q5,0
Kevin,Q5,1
Brenton,Q5,0
Bobby,Q5,1
Mohammad,Q5,1
Forrest,Q5,0
Tyrone,Q5,1
Kareem,Q5,0
Jamal,Q5,1
Jaquavious,Q5,1
Larry Bird,Q5,0
MJ,Q5,1
Lebron,Q5,1
Amanda,Q5,0
Jenny,Q5,1
Ryan,Q6,0
David,Q6,1
Kevin,Q6,1
Brenton,Q6,0
Bobby,Q6,1
Mohammad,Q6,0
Forrest,Q6,1
Tyrone,Q6,1
Kareem,Q6,0
Jamal,Q6,1
Jaquavious,Q6,0
Larry Bird,Q6,1
MJ,Q6,0
Lebron,Q6,1
Amanda,Q6,1
Jenny,Q6,0
Ryan,Q7,1
David,Q7,0
Kevin,Q7,1
Brenton,Q7,1
Bobby,Q7,0
Mohammad,Q7,1
Forrest,Q7,1
Tyrone,Q7,0
Kareem,Q7,1
Jamal,Q7,0
Jaquavious,Q7,1
Larry Bird,Q7,0
MJ,Q7,1
Lebron,Q7,1
Amanda,Q7,0
Jenny,Q7,1
Ryan,Q8,0
David,Q8,1
Kevin,Q8,0
Brenton,Q8,1
Bobby,Q8,1
Mohammad,Q8,0
Forrest,Q8,1
Tyrone,Q8,1
Kareem,Q8,0
Jamal,Q8,1
Jaquavious,Q8,1
Larry Bird,Q8,0
MJ,Q8,1
Lebron,Q8,0
Amanda,Q8,1
Jenny,Q8,1
Ryan,Q9,1
David,Q9,0
Kevin,Q9,1
Brenton,Q9,0
Bobby,Q9,1
Mohammad,Q9,1
Forrest,Q9,0
Tyrone,Q9,1
Kareem,Q9,1
Jamal,Q9,0
Jaquavious,Q9,1
Larry Bird,Q9,1
MJ,Q9,0
Lebron,Q9,1
Amanda,Q9,0
Jenny,Q9,1
